CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency
1001,22,Male,35000,85,20
1002,45,Female,85000,25,5
1003,35,Male,62000,65,12
1004,29,Female,45000,90,25
1005,50,Male,95000,20,3
1006,31,Female,54000,70,15
1007,42,Male,72000,45,8
1008,27,Female,40000,88,22
1009,38,Male,68000,55,10
1010,24,Female,38000,92,28
1011,55,Male,110000,15,2
1012,33,Female,58000,75,18
1013,48,Male,89000,30,4
1014,26,Female,42000,95,30
1015,36,Male,65000,60,11
1016,41,Female,78000,40,7
1017,23,Male,36000,87,21
1018,46,Female,92000,22,3
1019,30,Male,50000,78,17
1020,39,Female,70000,52,9
